City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Karasjok,NO,2022-07-24 22:18:04,69.4719,25.5112,48.47,92,100,3.76
1,Jamestown,US,2022-07-24 22:16:58,42.097,-79.2353,85.64,67,40,14.97
2,Jacqueville,CI,2022-07-24 22:18:04,5.2052,-4.4146,76.96,79,95,9.73
3,Busselton,AU,2022-07-24 22:18:05,-33.65,115.3333,58.08,71,90,15.77
4,Pankrushikha,RU,2022-07-24 22:18:05,53.8319,80.3406,50.04,95,30,5.93
5,Khatanga,RU,2022-07-24 22:18:05,71.9667,102.5,61.14,85,97,6.8
6,Hithadhoo,MV,2022-07-24 22:18:06,-0.6,73.0833,81.9,73,100,6.58
7,Upernavik,GL,2022-07-24 22:18:06,72.7868,-56.1549,41.7,95,100,6.4
8,Mataura,NZ,2022-07-24 22:18:06,-46.1927,168.8643,36.48,88,17,2.3
9,Hilo,US,2022-07-24 22:14:58,19.7297,-155.09,87.28,72,75,11.5
10,Sanandaj,IR,2022-07-24 22:18:07,35.3144,46.9923,66.22,24,0,0.0
11,Hermanus,ZA,2022-07-24 22:18:07,-34.4187,19.2345,49.8,86,0,11.16
12,Albany,US,2022-07-24 22:13:14,42.6001,-73.9662,95.41,40,57,1.99
13,Butaritari,KI,2022-07-24 22:15:17,3.0707,172.7902,82.47,70,1,19.39
14,Rikitea,PF,2022-07-24 22:18:08,-23.1203,-134.9692,75.54,80,67,14.58
15,Yellowknife,CA,2022-07-24 22:15:36,62.456,-114.3525,61.32,82,100,11.5
16,Ushuaia,AR,2022-07-24 22:15:39,-54.8,-68.3,35.26,64,75,8.05
17,Severo-Kurilsk,RU,2022-07-24 22:18:08,50.6789,156.125,51.85,98,100,14.32
18,Vaini,TO,2022-07-24 22:18:09,-21.2,-175.2,75.36,73,40,8.05
19,Barrow,US,2022-07-24 22:18:09,71.2906,-156.7887,39.22,93,100,9.22
20,Uyuni,BO,2022-07-24 22:18:09,-20.4597,-66.825,47.3,22,0,6.76
21,Cidreira,BR,2022-07-24 22:17:17,-30.1811,-50.2056,62.92,90,99,4.94
22,Bengkulu,ID,2022-07-24 22:18:10,-3.8004,102.2655,75.15,90,100,5.3
23,Ondjiva,AO,2022-07-24 22:18:10,-17.0667,15.7333,62.04,35,0,4.76
24,Bredasdorp,ZA,2022-07-24 22:18:10,-34.5322,20.0403,48.18,89,0,5.53
25,Saint Anthony,US,2022-07-24 22:15:35,45.0205,-93.218,80.53,45,0,18.41
26,Kloulklubed,PW,2022-07-24 22:18:11,7.0419,134.2556,75.7,73,99,7.4
27,Upata,VE,2022-07-24 22:18:11,8.0086,-62.3989,80.19,91,65,2.73
28,Arraial Do Cabo,BR,2022-07-24 22:18:12,-22.9661,-42.0278,71.46,88,0,13.8
29,Acapulco,MX,2022-07-24 22:17:13,16.8634,-99.8901,87.62,70,75,8.05
30,Victoria,HK,2022-07-24 22:14:14,22.2855,114.1577,86.97,81,6,4.0
31,Clyde River,CA,2022-07-24 22:18:12,70.4692,-68.5914,43.03,93,100,16.11
32,Mangochi,MW,2022-07-24 22:18:13,-14.4782,35.2645,70.66,55,84,6.31
33,Callaway,US,2022-07-24 22:18:13,30.153,-85.5699,84.13,78,40,9.22
34,Erenhot,CN,2022-07-24 22:18:13,43.6475,111.9767,76.41,36,83,4.25
35,Cabo San Lucas,MX,2022-07-24 22:17:56,22.8909,-109.9124,91.62,66,20,4.61
36,Nikolskoye,RU,2022-07-24 22:18:14,59.7035,30.7861,62.49,97,85,3.98
37,Shingu,JP,2022-07-24 22:18:14,33.7333,135.9833,77.41,74,100,2.55
38,Port Hawkesbury,CA,2022-07-24 22:18:15,45.6169,-61.3485,85.8,59,0,9.22
39,Qaqortoq,GL,2022-07-24 22:18:15,60.7167,-46.0333,48.47,72,94,3.22
40,Castro,BR,2022-07-24 22:18:15,-24.7911,-50.0119,61.11,69,98,3.02
41,Chokurdakh,RU,2022-07-24 22:18:16,70.6333,147.9167,64.42,41,87,9.37
42,Mitu,CO,2022-07-24 22:15:12,1.1983,-70.1733,70.9,100,100,1.81
43,Punta Arenas,CL,2022-07-24 22:18:16,-53.15,-70.9167,37.51,75,20,12.66
44,Myslenice,PL,2022-07-24 22:18:16,49.8338,19.9383,63.14,68,8,3.47
45,Port Alfred,ZA,2022-07-24 22:18:17,-33.5906,26.891,59.09,60,93,7.2
46,Sebring,US,2022-07-24 22:18:17,27.4956,-81.4409,90.79,75,40,3.44
47,Urengoy,RU,2022-07-24 22:19:17,65.9667,78.3667,50.54,91,100,13.33
48,Provideniya,RU,2022-07-24 22:19:18,64.3833,-173.3,48.36,81,75,7.0
49,Kapaa,US,2022-07-24 22:19:18,22.0752,-159.319,84.52,69,20,14.97
50,Puerto Ayora,EC,2022-07-24 22:19:18,-0.7393,-90.3518,78.76,90,78,5.99
51,Dedza,MW,2022-07-24 22:19:19,-14.3779,34.3332,54.57,65,54,3.47
52,Kramat,ID,2022-07-24 22:19:19,-8.1311,113.4499,66.34,87,83,1.74
53,Mahebourg,MU,2022-07-24 22:19:19,-20.4081,57.7,62.89,88,75,3.44
54,Hasaki,JP,2022-07-24 22:19:20,35.7333,140.8333,82.8,83,76,13.76
55,Beringovskiy,RU,2022-07-24 22:19:20,63.05,179.3167,44.67,79,100,11.92
56,Belmonte,BR,2022-07-24 22:19:21,-15.8631,-38.8828,70.81,77,18,6.91
57,Uray,RU,2022-07-24 22:19:21,60.1247,64.7758,60.53,94,100,7.07
