City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
501,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
514,Alta Floresta,BR,79.23,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
515,Gazanjyk,TM,78.58,clear sky,39.2446,55.5154,Railway motel
516,Mashhad,IR,80.74,clear sky,36.297,59.6062,Khanye Sabz Hotel
521,Benghazi,LY,80.55,clear sky,32.1167,20.0667,Tibesti Hotel
523,Forest Grove,US,82.49,clear sky,45.5198,-123.1107,McMenamins Grand Lodge
534,Jodhpur,IN,80.53,overcast clouds,26.2867,73.03,"Umaid Bhawan Palace, Jodhpur"
539,Parma,IT,79.54,broken clouds,44.8027,10.329,Hotel Button
542,Road Town,VG,82.49,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
562,Bela,IN,84.13,overcast clouds,25.9333,81.9833,Raj Bhawan
568,Talaja,IN,78.84,overcast clouds,21.35,72.05,Tofik Memon
571,Akyab,MM,78.98,overcast clouds,20.15,92.9,Hotel Memory
579,Vaitape,PF,79.45,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
580,Uruzgan,AF,79.57,broken clouds,32.8333,66.0,
584,Baoning,CN,78.42,clear sky,25.3378,110.026,
585,Altea,ES,82.15,clear sky,38.5989,-0.0514,Albir Playa Hotel & Spa
588,Jacareacanga,BR,79.38,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
592,Rongcheng,CN,78.04,few clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
599,Maihar,IN,78.28,overcast clouds,24.2667,80.75,Mrig Van Resort
601,Encheng,CN,80.89,clear sky,22.1839,112.3026,Pinghu Hostel
607,Ariquemes,BR,81.64,few clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
615,Speightstown,BB,83.01,clear sky,13.25,-59.65,Legend Garden Condos
618,Boa Vista,BR,78.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
619,Portachuelo,BO,81.5,clear sky,-17.35,-63.4,MOTEL
629,Buala,SB,84.36,clear sky,-8.145,159.5921,Maringe Lagoon Lodge
634,Ternate,ID,80.89,few clouds,0.8,127.4,Sahid Bela Ternate Hotel
636,Kokopo,PG,84.2,few clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
637,Ximei,CN,81.99,clear sky,24.9639,118.3794,Nan'an Hotel
639,Keti Bandar,PK,82.99,moderate rain,24.1447,67.4497,Haji laloo memon house
644,Bathsheba,BB,80.71,clear sky,13.2167,-59.5167,Atlantis Hotel
648,Nador,MA,79.05,scattered clouds,35.174,-2.9287,Hôtel La Giralda
679,Noumea,NC,78.78,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
680,Neyshabur,IR,79.45,clear sky,36.2133,58.7958,Amiran Hotel & Commercial Complex
681,Dicabisagan,PH,81.52,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
692,Lakki Marwat,PK,84.04,overcast clouds,32.6079,70.9114,Noor Hotel
696,Santa Rosa,PH,82.09,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
699,Veraval,IN,81.01,overcast clouds,20.9,70.3667,Lords Inn Somnath
700,Shimoda,JP,80.33,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
707,Tingo Maria,PE,82.71,few clouds,-9.2895,-76.0088,Hospedaje Paraíso
