City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Turukhansk,RU,2022-07-23 22:31:46,light rain,65.8167,87.9833,60.96,90,100,8.03
60,Kapaa,US,2022-07-23 22:31:47,few clouds,22.0752,-159.319,84.52,65,20,13.8
61,Isabela,PH,2022-07-23 22:31:47,overcast clouds,6.7085,121.9711,75.25,80,99,2.53
62,Carnarvon,AU,2022-07-23 22:31:48,broken clouds,-24.8667,113.6333,63.18,64,60,17.4
63,Atuona,PF,2022-07-23 22:31:48,scattered clouds,-9.8,-139.0333,77.59,76,44,18.12
64,Saint George,US,2022-07-23 22:29:07,broken clouds,37.1041,-113.5841,103.24,19,74,17.38
65,Kavaratti,IN,2022-07-23 22:31:48,broken clouds,10.5669,72.642,80.94,77,67,16.35
66,Hilo,US,2022-07-23 22:28:58,overcast clouds,19.7297,-155.09,86.29,94,100,8.05
67,Chokurdakh,RU,2022-07-23 22:31:49,broken clouds,70.6333,147.9167,59.04,44,84,11.81
68,Abbeville,FR,2022-07-23 22:31:49,overcast clouds,50.1,1.8333,59.49,79,91,2.8
69,Lorengau,PG,2022-07-23 22:31:50,few clouds,-2.0226,147.2712,83.53,76,16,8.95
70,Salalah,OM,2022-07-23 22:21:29,broken clouds,17.0151,54.0924,77.09,94,75,6.91
71,Bacong,PH,2022-07-23 22:31:50,light rain,9.2464,123.2956,80.58,82,93,2.55
72,Abu Kamal,SY,2022-07-23 22:31:51,clear sky,34.4506,40.9171,88.79,21,0,16.84
73,Savannah Bight,HN,2022-07-23 22:31:51,broken clouds,16.45,-85.85,82.8,84,84,22.48
74,Severo-Kurilsk,RU,2022-07-23 22:31:51,broken clouds,50.6789,156.125,56.82,88,55,4.23
75,Trelleborg,SE,2022-07-23 22:31:52,overcast clouds,55.3751,13.1569,59.94,88,99,16.6
76,Santiago Del Estero,AR,2022-07-23 22:31:52,overcast clouds,-27.7951,-64.2615,73.94,50,100,5.32
77,Ulladulla,AU,2022-07-23 22:31:31,few clouds,-35.35,150.4667,54.25,81,22,2.68
78,Aranos,NA,2022-07-23 22:31:53,overcast clouds,-24.1333,19.1167,60.64,32,93,13.22
79,Lata,PT,2022-07-23 22:31:53,clear sky,40.1629,-8.3327,59.68,82,0,1.43
80,Nishihara,JP,2022-07-23 22:22:47,scattered clouds,26.1842,127.7558,83.86,89,40,3.44
81,Busselton,AU,2022-07-23 22:31:54,overcast clouds,-33.65,115.3333,50.77,69,86,10.09
82,Waipawa,NZ,2022-07-23 22:31:54,overcast clouds,-41.4122,175.5153,47.88,77,100,7.02
83,Bombay,IN,2022-07-23 22:31:24,light rain,19.0144,72.8479,82.38,89,75,14.97
84,Ayagoz,KZ,2022-07-23 22:31:54,broken clouds,47.9714,80.4392,61.38,44,60,2.53
85,Chongwe,ZM,2022-07-23 22:31:55,clear sky,-15.3292,28.682,54.18,74,3,2.37
86,Jamestown,US,2022-07-23 22:26:57,broken clouds,42.097,-79.2353,77.52,80,75,1.99
87,Nevsehir,TR,2022-07-23 22:31:55,clear sky,38.9167,34.6667,57.79,66,0,6.6
88,Hasaki,JP,2022-07-23 22:24:05,overcast clouds,35.7333,140.8333,79.29,83,99,10.22
89,Hualmay,PE,2022-07-23 22:31:55,scattered clouds,-11.0964,-77.6139,62.33,83,29,8.41
90,Karia,NG,2022-07-23 22:31:56,light rain,11.7306,11.1629,76.89,71,100,7.72
91,Guerrero Negro,MX,2022-07-23 22:29:14,few clouds,27.9769,-114.0611,75.81,58,11,16.04
92,Tiarei,PF,2022-07-23 22:32:56,light rain,-17.5333,-149.3333,84.22,77,12,16.6
93,Sabha,LY,2022-07-23 22:32:57,clear sky,27.0377,14.4283,82.42,25,0,9.95
94,Esperance,AU,2022-07-23 22:32:57,moderate rain,-33.8667,121.9,49.84,66,100,22.39
95,Luanda,AO,2022-07-23 22:32:57,broken clouds,-8.8368,13.2343,69.8,88,75,3.44
96,Huallanca,PE,2022-07-23 22:32:58,broken clouds,-9.8993,-76.9417,49.95,72,62,3.44
97,Privolzhye,RU,2022-07-23 22:32:58,overcast clouds,52.8649,48.6044,63.27,86,89,7.14
98,Portland,US,2022-07-23 22:23:14,few clouds,45.5234,-122.6762,83.98,51,20,4.61
99,Port Elizabeth,ZA,2022-07-23 22:29:15,scattered clouds,-33.918,25.5701,53.89,86,40,13.8
100,Fortuna,US,2022-07-23 22:32:59,few clouds,40.5982,-124.1573,68.02,60,19,9.75
101,Lebu,CL,2022-07-23 22:32:59,overcast clouds,-37.6167,-73.65,51.75,93,100,5.57
